epoch,train_loss,train_nll,train_bce,val_loss,val_rmse,val_zupt_acc,val_zupt_f1,val_zupt_fpr
1,53.45532,52.89075,1.12914,75.68733,14.1223,0.00,0.00,100.00
2,16.04633,15.48580,1.12106,10.81831,11.0303,100.00,0.00,0.00
3,4.57575,4.03807,1.07537,2.09758,3.6354,100.00,0.00,0.00
4,2.58463,2.10809,0.95307,2.73544,7.6980,100.00,0.00,0.00
5,2.11677,1.65911,0.91533,1.95001,3.9842,100.00,0.00,0.00
6,2.16445,1.78110,0.76671,1.67737,1.6067,100.00,0.00,0.00
7,1.82541,1.47093,0.70895,1.82438,3.2890,100.00,0.00,0.00
8,1.69562,1.35848,0.67428,1.54300,0.7809,100.00,0.00,0.00
9,1.74016,1.42136,0.63761,1.69895,2.8095,100.00,0.00,0.00
10,1.64984,1.38981,0.52006,1.46797,1.2596,100.00,0.00,0.00
11,1.54552,1.40272,0.28560,1.51412,1.4390,100.00,0.00,0.00
12,1.29184,1.19566,0.19235,1.55379,2.6442,100.00,0.00,0.00
13,1.36938,1.29946,0.13983,1.28312,0.6989,100.00,0.00,0.00
14,1.08397,0.99839,0.17116,1.43661,2.2655,100.00,0.00,0.00
15,1.05564,0.97915,0.15297,1.30808,1.7043,100.00,0.00,0.00
16,3.24528,3.15322,0.18411,1.20396,0.1510,100.00,0.00,0.00
17,4.22083,4.17304,0.09559,1.17200,0.6698,100.00,0.00,0.00
18,0.76698,0.69153,0.15090,1.15984,0.9801,100.00,0.00,0.00
19,2.51443,2.44246,0.14393,1.27790,1.8568,100.00,0.00,0.00
20,26.99149,26.92445,0.13409,1.12458,0.3118,100.00,0.00,0.00
21,0.56787,0.52346,0.08881,1.19729,1.5851,100.00,0.00,0.00
22,75.16347,75.08848,0.14999,1.15994,1.4155,100.00,0.00,0.00
23,12.69217,12.64004,0.10428,1.15654,0.8522,100.00,0.00,0.00
24,0.17502,0.09773,0.15458,1.09817,0.7844,100.00,0.00,0.00
25,0.43825,0.34803,0.18044,1.07345,0.4092,100.00,0.00,0.00
26,0.01149,-0.05415,0.13129,1.07703,0.1283,100.00,0.00,0.00
27,358.95538,358.89366,0.12342,1.07691,0.6629,100.00,0.00,0.00
28,-0.07413,-0.13763,0.12701,1.05899,0.2413,100.00,0.00,0.00
29,154.88563,154.81881,0.13366,1.06114,0.2145,100.00,0.00,0.00
30,1.10120,1.06286,0.07669,1.06093,0.2377,100.00,0.00,0.00
31,-0.18044,-0.22772,0.09456,1.04272,0.4360,100.00,0.00,0.00
32,-0.15278,-0.19477,0.08398,1.03709,0.1307,100.00,0.00,0.00
33,10.48439,10.42205,0.12469,1.02829,0.1455,100.00,0.00,0.00
34,18.46004,18.40514,0.10981,1.06759,1.0152,100.00,0.00,0.00
35,-0.09014,-0.12595,0.07162,1.04691,0.7796,100.00,0.00,0.00
36,-0.07558,-0.14781,0.14446,1.02773,0.4316,100.00,0.00,0.00
37,-0.32941,-0.36607,0.07333,1.01756,0.2204,100.00,0.00,0.00
38,-0.23140,-0.29246,0.12214,1.01446,0.4906,100.00,0.00,0.00
39,2.65400,2.60672,0.09456,1.03746,0.9738,100.00,0.00,0.00
40,22.56947,22.53232,0.07430,1.02909,0.9140,100.00,0.00,0.00
41,-0.34658,-0.39679,0.10042,0.99741,0.1025,100.00,0.00,0.00
42,-0.23982,-0.29106,0.10248,1.02101,0.5244,100.00,0.00,0.00
43,-0.30890,-0.35623,0.09465,0.99910,0.8062,100.00,0.00,0.00
44,-0.38165,-0.41995,0.07660,1.01416,0.9050,100.00,0.00,0.00
45,-0.26974,-0.31988,0.10029,1.00450,0.7760,100.00,0.00,0.00
46,-0.34561,-0.39039,0.08957,0.98705,0.5361,100.00,0.00,0.00
47,-0.39703,-0.43454,0.07502,0.98965,0.6894,100.00,0.00,0.00
48,-0.32736,-0.37529,0.09585,0.97978,0.5406,100.00,0.00,0.00
49,-0.42329,-0.45525,0.06393,0.96708,0.4661,100.00,0.00,0.00
50,251.76803,251.71107,0.11391,0.96653,0.1807,100.00,0.00,0.00
51,-0.19805,-0.26921,0.14230,0.96317,0.4235,100.00,0.00,0.00
52,3.18316,3.11420,0.13792,0.99189,0.8915,100.00,0.00,0.00
53,-0.21838,-0.28525,0.13374,0.96400,0.5532,100.00,0.00,0.00
54,-0.36153,-0.41273,0.10241,0.96487,0.5295,100.00,0.00,0.00
55,48.99995,48.96621,0.06749,0.96086,0.5727,100.00,0.00,0.00
56,779.88052,779.81036,0.14034,0.96307,0.6657,100.00,0.00,0.00
57,-0.31766,-0.36551,0.09570,0.95438,0.5602,100.00,0.00,0.00
58,-0.30978,-0.37572,0.13188,0.94985,0.5454,100.00,0.00,0.00
59,81.83492,81.77163,0.12656,0.95102,0.6084,100.00,0.00,0.00
60,57.07408,57.02984,0.08846,0.97093,0.7800,100.00,0.00,0.00
